week_idx,eval_start,revenue
253,51264,11734.2500000000
254,51432,7895.0000000000
255,51600,8259.5000000000
256,51768,16939.2500000000
257,51936,10676.0000000000
258,52104,10644.7500000000
259,52272,15119.0000000000
260,52440,5289.7500000000
261,52608,13835.2500000000
262,52776,5713.7500000000
263,52944,11055.0000000000
264,53112,9963.5000000000
265,53280,9444.2500000000
266,53448,12078.0000000000
267,53616,13004.5000000000
268,53784,7882.0000000000
269,53952,14753.5000000000
270,54120,7595.7500000000
271,54288,10521.0000000000
272,54456,8067.0000000000
273,54624,8387.0000000000
274,54792,8513.0000000000
275,54960,9832.5000000000
276,55128,7958.7500000000
277,55296,7715.2500000000
278,55464,9205.2500000000
279,55632,7717.2500000000
280,55800,10579.2500000000
281,55968,8993.7500000000
282,56136,8815.0000000000
283,56304,9936.7500000000
284,56472,10271.0000000000
285,56640,36756.5000000000
286,56808,28677.2500000000
287,56976,27154.5000000000
288,57144,26439.7500000000
289,57312,33755.0000000000
290,57480,73121.7500000000
291,57648,33428.5000000000
292,57816,33793.5000000000
293,57984,22079.7500000000
294,58152,12151.7500000000
295,58320,8847.7500000000
296,58488,9170.0000000000
297,58656,10866.5000000000
298,58824,13431.2500000000
299,58992,12213.0000000000
300,59160,21769.2500000000
301,59328,13877.5000000000
302,59496,14788.7500000000
303,59664,26231.0000000000
304,59832,19979.0000000000
305,60000,20790.7500000000
306,60168,15903.2500000000
307,60336,17120.0000000000
308,60504,15258.7500000000
309,60672,9506.5000000000
310,60840,18266.2500000000
311,61008,3346.5000000000
312,61176,9637.2500000000
313,61344,10740.7500000000
314,61512,-3701.2500000000
315,61680,19633.7500000000
316,61848,6190.0000000000
317,62016,0.0000000000
318,62184,26822.0000000000
319,62352,4457.0000000000
320,62520,9870.5000000000
321,62688,9535.2500000000
322,62856,11348.0000000000
323,63024,13230.7500000000
324,63192,15186.5000000000
325,63360,10266.0000000000
326,63528,9314.2500000000
327,63696,9880.2500000000
328,63864,19301.7500000000
329,64032,10531.2500000000
330,64200,10141.5000000000
331,64368,9311.0000000000
332,64536,20149.5000000000
