market,week_idx,eval_start,eval_start_ts,method,revenue,soc_end,score,pf_score,value_capture,theta,sigma_stat,mu_eff,q,mask_violations
CISO,62,19176,2025-04-29 08:00:00,pf,22743.289500000006,18.75,23454.317578531685,23454.317578531685,1.0,0.0453574462150882,21.04799819205392,1.234859595561658,37.921497521689496,0
CISO,63,19344,2025-05-06 08:00:00,pf,21700.151250000003,43.75,23359.91650467324,23359.91650467324,1.0,0.0435828783506935,21.15200741076835,3.452052144478988,37.93749153538812,0
CISO,64,19512,2025-05-13 08:00:00,pf,19149.90125,93.75,22722.82985894692,22722.82985894692,1.0,0.0394097549074181,21.928869916702297,8.801525276274164,38.11123849543379,0
CISO,65,19680,2025-05-20 08:00:00,pf,17817.622749999995,93.75,21391.27588345462,21391.27588345462,1.0,0.0385127953228785,21.520395731936844,1.2006631207869296,38.11896675684932,0
CISO,66,19848,2025-05-27 08:00:00,pf,16633.919250000003,22.5,17497.72134559932,17497.72134559932,1.0,0.0336443172275287,22.74827074724442,1.650722147995083,38.39120424885845,0
CISO,67,20016,2025-06-03 08:00:00,pf,14768.7175,22.5,15639.0626658476,15639.0626658476,1.0,0.0444014187568237,19.54771091509226,5.7658453927559945,38.682007371004566,0
CISO,68,20184,2025-06-10 08:00:00,pf,16721.43225,22.5,17596.09102004281,17596.09102004281,1.0,0.0446770724974362,18.359495312536147,-0.3866657731745772,38.8737231130137,0
CISO,69,20352,2025-06-17 08:00:00,pf,18290.5905,20.0,19071.097663036533,19071.097663036533,1.0,0.0516226920582224,16.970116721706322,-3.122893712434815,39.02535815182649,0
CISO,70,20520,2025-06-24 08:00:00,pf,15098.4735,20.0,15880.47020561644,15880.47020561644,1.0,0.0671455648701694,14.263962815668238,-3.3595677095750327,39.09983528082192,0
CISO,71,20688,2025-07-01 08:00:00,pf,14945.7695,1.25,14994.660607975173,14994.660607975173,1.0,0.0343730664493329,20.669921494480253,1.0030380872283355,39.112886380136985,0
CISO,72,20856,2025-07-08 08:00:00,pf,13658.983000000004,16.25,14291.454831837904,14291.454831837904,1.0,0.0758890127623659,13.089125736083632,-5.124492731780843,38.92134349771689,0
CISO,73,21024,2025-07-15 08:00:00,pf,7917.609999999998,16.25,8544.215500142693,8544.215500142693,1.0,0.0822888398029538,12.289254088741597,-0.3671975650121499,38.56033847031964,0
CISO,74,21192,2025-07-22 08:00:00,pf,9189.9185,20.0,9959.644766369864,9959.644766369864,1.0,0.0775006125913935,12.671636808507165,-1.4093884455909766,38.486313318493146,0
CISO,75,21360,2025-07-29 08:00:00,pf,9904.832249999996,12.5,10381.323590682074,10381.323590682074,1.0,0.0715255557046355,13.198800284646246,-2.97031557302058,38.119307254566216,0
CISO,76,21528,2025-08-05 08:00:00,pf,11303.078,8.75,11633.953098140695,11633.953098140695,1.0,0.0833911636076192,12.442378021230343,-0.312026623845382,37.814296930365295,0
CISO,77,21696,2025-08-12 08:00:00,pf,8659.754749999998,8.75,8989.378096234303,8989.378096234303,1.0,0.0829906040284975,12.33329506789472,3.6223288323046337,37.6712395696347,0
CISO,78,21864,2025-08-19 08:00:00,pf,16397.46825,5.0,16586.120610930368,16586.120610930368,1.0,0.0963059121063489,11.35257871885299,1.6693966753282772,37.730472186073065,0
CISO,79,22032,2025-08-26 08:00:00,pf,11821.1395,16.25,12440.639071255708,12440.639071255708,1.0,0.0734251927709064,13.16020800031735,7.175578721461233,38.123050538812784,0
CISO,80,22200,2025-09-02 08:00:00,pf,14443.250500000002,5.0,14634.911984320775,14634.911984320775,1.0,0.0652829947706763,13.786144821312057,2.4901748211057426,38.33229686415525,0
CISO,81,22368,2025-09-09 08:00:00,pf,10129.572,1.25,10177.474697929509,10177.474697929509,1.0,0.0508423668386198,15.279222559200171,5.187431874353216,38.322158343607306,0
CISO,82,22536,2025-09-16 08:00:00,pf,11128.435250000002,16.25,11754.693843436076,11754.693843436076,1.0,0.0614003277291539,13.641949684944276,-0.5374411789172028,38.5389903652968,0
CISO,83,22704,2025-09-23 08:00:00,pf,7100.530999999997,16.25,7731.913011545374,7731.913011545374,1.0,0.0803861711647976,11.715809063634604,2.189410900094557,38.85427763356165,0
CISO,84,22872,2025-09-30 08:00:00,pf,4868.4535,10.0,5258.385679406392,5258.385679406392,1.0,0.1062861271145313,10.027788772240967,-1.1614790667436392,38.99321794063927,0
CISO,85,23040,2025-10-07 08:00:00,pf,9771.6685,1.25,9819.981536555366,9819.981536555366,1.0,0.1268694494066572,9.031230114842158,-1.680035391107548,38.65042924429223,0
CISO,86,23208,2025-10-14 08:00:00,pf,15246.639249999997,0.0,15246.639249999997,15246.639249999997,1.0,0.1184671705176354,9.007015969671349,0.0468542807191866,38.396982393835614,0
CISO,87,23376,2025-10-21 08:00:00,pf,11356.9535,0.0,11356.9535,11356.9535,1.0,0.1149840416274755,9.001980281972903,-1.2483929990098337,38.38217363584475,0
